,Region,Year,Gender,Nationality,Population estimates
0,0.5,0.3333333333333333,0.0,1.0,0.16156949177426616
1,1.0,0.0,0.0,1.0,0.06647686585138991
2,0.3333333333333333,0.25,0.0,1.0,0.05820293003166
3,0.25,0.5,1.0,1.0,0.3815364903712496
4,0.0,0.6666666666666666,0.0,0.0,0.0007803708574674887
5,0.75,0.5,0.0,0.0,0.0020067942677677356
6,0.08333333333333333,0.25,1.0,1.0,0.049272739762091546
7,0.75,0.75,0.0,0.0,0.001990579535179631
8,0.5,0.25,0.0,1.0,0.15682771433886492
9,0.8333333333333334,0.9166666666666666,1.0,1.0,0.1287617811087752
10,0.6666666666666666,0.16666666666666666,0.0,1.0,0.042043622347675114
11,0.25,0.16666666666666666,0.0,0.0,0.09823297740521236
12,0.8333333333333334,0.5833333333333334,1.0,0.0,0.10721210668586491
13,0.5,0.6666666666666666,1.0,1.0,0.1765728364313791
14,0.5,0.75,1.0,1.0,0.1809425594572133
15,0.0,0.75,1.0,0.0,0.0163111365436735
16,0.9166666666666666,1.0,0.0,0.0,0.29420570953163894
17,0.8333333333333334,1.0,1.0,1.0,0.1317013647203386
18,0.08333333333333333,0.08333333333333333,1.0,1.0,0.046892122204838065
19,0.5833333333333334,1.0,1.0,1.0,0.6071898482802213
20,0.5,0.75,0.0,1.0,0.18256816010250068
21,0.4166666666666667,0.5,0.0,0.0,0.027661449355346455
22,0.9166666666666666,1.0,0.0,1.0,0.6435364980363959
23,0.16666666666666666,0.08333333333333333,0.0,0.0,0.021148728308004447
24,0.5833333333333334,0.3333333333333333,0.0,1.0,0.49812896726599265
25,0.8333333333333334,0.75,1.0,1.0,0.12250849578284287
26,0.25,1.0,0.0,0.0,0.11682744311061072
27,0.0,0.5,0.0,0.0,0.0011878028654085803
28,0.9166666666666666,0.25,0.0,0.0,0.2640418847179683
29,0.16666666666666666,0.9166666666666666,0.0,0.0,0.023120144977398137
30,0.75,0.3333333333333333,1.0,0.0,0.01584120411193826
31,1.0,0.08333333333333333,0.0,1.0,0.06793147477120275
32,0.6666666666666666,0.75,0.0,1.0,0.050357357965575826
33,1.0,0.9166666666666666,0.0,1.0,0.08701768909400034
34,0.25,0.75,1.0,0.0,0.47042624404587646
35,0.25,0.5833333333333334,0.0,1.0,0.3744409233906952
36,1.0,1.0,0.0,0.0,0.00830017420519066
37,0.9166666666666666,0.5,1.0,1.0,0.5703720868390322
38,0.9166666666666666,0.5833333333333334,1.0,1.0,0.5820643831016543
39,0.8333333333333334,0.6666666666666666,0.0,1.0,0.1204878452890453
40,0.5,0.5833333333333334,1.0,0.0,0.1863385276492146
41,0.9166666666666666,0.9166666666666666,0.0,1.0,0.6292663541055851
42,0.8333333333333334,0.3333333333333333,0.0,1.0,0.10908151794661343
43,1.0,1.0,1.0,1.0,0.09062561450151342
44,0.5833333333333334,0.3333333333333333,1.0,1.0,0.49930556722524944
45,1.0,0.3333333333333333,0.0,1.0,0.07359719715080615
46,0.9166666666666666,0.08333333333333333,1.0,0.0,0.6881022483348207
47,0.0,0.0,0.0,1.0,0.023730408549350424
48,0.0,0.0,1.0,1.0,0.023030226914864105
49,0.6666666666666666,0.5,1.0,0.0,0.041773868160073016
50,0.8333333333333334,0.08333333333333333,1.0,1.0,0.1001094641856357
51,0.16666666666666666,0.75,0.0,1.0,0.19563988788839076
52,0.16666666666666666,0.5833333333333334,1.0,1.0,0.18395407751880394
53,0.9166666666666666,0.5833333333333334,0.0,1.0,0.5709867726107812
54,1.0,0.16666666666666666,1.0,1.0,0.0708141594120479
55,0.6666666666666666,0.25,1.0,1.0,0.043369103033422694
56,1.0,0.5,0.0,0.0,0.008449349745001219
57,0.0,0.0,0.0,0.0,0.0005616193741879735
58,0.75,0.6666666666666666,1.0,0.0,0.017452653717876035
59,0.75,0.5,1.0,1.0,0.031203631392547768
60,0.4166666666666667,0.6666666666666666,1.0,0.0,0.08362880998308656
61,0.4166666666666667,0.8333333333333334,1.0,1.0,0.13665098554618738
62,0.4166666666666667,0.75,0.0,0.0,0.024454175249419438
63,0.5833333333333334,0.16666666666666666,0.0,0.0,0.3222863834277178
64,0.3333333333333333,0.5833333333333334,1.0,1.0,0.06542880449955882
65,0.5833333333333334,0.8333333333333334,1.0,1.0,0.58009385087222
66,0.25,0.16666666666666666,1.0,1.0,0.34124730208960735
67,0.5833333333333334,1.0,0.0,0.0,0.30907874670140745
68,0.8333333333333334,0.5,0.0,0.0,0.020451494806715965
69,0.5,0.25,1.0,0.0,0.16043416567977908
70,0.9166666666666666,0.25,0.0,1.0,0.5141732977552619
71,1.0,0.08333333333333333,0.0,0.0,0.0063570596144962065
72,0.6666666666666666,0.8333333333333334,0.0,0.0,0.009337917090829331
73,0.3333333333333333,1.0,0.0,1.0,0.07325344481993834
74,0.16666666666666666,0.9166666666666666,1.0,1.0,0.2024869272403675
75,0.0,0.5,1.0,1.0,0.02731504370460059
76,0.6666666666666666,0.75,1.0,1.0,0.050449339721348345
77,0.25,0.8333333333333334,0.0,1.0,0.40327956233193796
78,0.5833333333333334,1.0,0.0,1.0,0.6089489993593706
79,0.25,0.5833333333333334,1.0,1.0,0.3894548813273203
80,0.8333333333333334,0.6666666666666666,1.0,1.0,0.1194704445224717
81,0.5833333333333334,0.75,0.0,0.0,0.30644871707561694
82,0.75,0.6666666666666666,0.0,1.0,0.03232303756776653
83,0.9166666666666666,0.9166666666666666,1.0,0.0,0.8376415877819926
84,0.08333333333333333,0.5,1.0,1.0,0.053337625815269386
85,0.5,0.16666666666666666,1.0,1.0,0.1518863482859701
86,0.6666666666666666,0.16666666666666666,1.0,0.0,0.028893769032042375
87,0.8333333333333334,0.16666666666666666,1.0,1.0,0.10252545934126323
88,0.0,0.0,1.0,0.0,0.01318552572732657
89,0.6666666666666666,0.6666666666666666,1.0,1.0,0.04922615925756572
90,0.5,0.0,0.0,1.0,0.14586478622938776
91,0.3333333333333333,0.3333333333333333,1.0,0.0,0.03928358004785999
92,0.08333333333333333,0.3333333333333333,0.0,0.0,0.0036091046607922166
93,0.5,0.0,0.0,0.0,0.04975947655305446
94,0.6666666666666666,0.4166666666666667,0.0,0.0,0.0076766440338481064
95,0.9166666666666666,0.0,1.0,1.0,0.48811238991302125
96,0.0,0.25,0.0,0.0,0.000944581876587017
97,0.5833333333333334,0.5,0.0,0.0,0.34946139080542116
98,0.4166666666666667,0.3333333333333333,0.0,0.0,0.026237795834110903
99,0.4166666666666667,0.9166666666666666,1.0,0.0,0.07711608893574455
100,0.75,0.3333333333333333,0.0,0.0,0.001302190433484661
101,0.25,0.0,0.0,0.0,0.091382695106718
102,1.0,0.6666666666666666,0.0,1.0,0.08104300235526361
103,0.9166666666666666,0.3333333333333333,1.0,0.0,0.8481947253769704
104,0.16666666666666666,0.08333333333333333,1.0,0.0,0.09449327044375595
105,0.5,0.5833333333333334,0.0,1.0,0.17405748918698447
106,0.16666666666666666,0.3333333333333333,0.0,0.0,0.023663780739079304
107,0.08333333333333333,0.08333333333333333,1.0,0.0,0.022954165078359907
108,0.4166666666666667,0.0,0.0,1.0,0.10647684226632433
109,0.0,0.4166666666666667,1.0,0.0,0.01994146776349014
110,0.9166666666666666,0.3333333333333333,0.0,0.0,0.2717533167235509
111,0.9166666666666666,0.0,1.0,0.0,0.6214125272665469
112,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0079699832870329
113,0.0,0.16666666666666666,0.0,0.0,0.0007217030068305298
114,0.5,0.3333333333333333,1.0,1.0,0.1607973756897526
115,1.0,0.08333333333333333,1.0,1.0,0.06914492639543252
116,0.75,0.25,1.0,1.0,0.02863138517743487
117,1.0,0.25,0.0,1.0,0.07144063771658829
118,0.0,0.5,0.0,1.0,0.028435629133098484
119,0.5833333333333334,0.16666666666666666,1.0,0.0,0.7570826688978138
120,0.5,0.16666666666666666,0.0,0.0,0.05128425104297582
121,0.0,0.5833333333333334,0.0,0.0,0.0011848547322107432
122,1.0,1.0,1.0,0.0,0.05650775344290365
123,0.75,0.9166666666666666,0.0,0.0,0.002487339979015188
124,0.3333333333333333,0.8333333333333334,1.0,0.0,0.046781272396599384
125,0.4166666666666667,0.3333333333333333,0.0,1.0,0.11821571903347222
126,0.8333333333333334,0.3333333333333333,1.0,0.0,0.09763568561933056
127,0.4166666666666667,0.6666666666666666,0.0,0.0,0.025569454038161226
128,0.75,0.9166666666666666,1.0,1.0,0.03516651203708044
129,1.0,0.6666666666666666,1.0,1.0,0.08244189155763733
130,0.8333333333333334,0.6666666666666666,1.0,0.0,0.09628072360160461
131,0.3333333333333333,0.0,1.0,1.0,0.054726196551450675
132,0.5,0.0,1.0,0.0,0.12013377449198506
133,0.5833333333333334,0.08333333333333333,0.0,1.0,0.4586602444533085
134,0.3333333333333333,0.5,1.0,1.0,0.0640915312810199
135,0.3333333333333333,0.0,0.0,0.0,0.004358814933002199
136,0.5833333333333334,0.0,1.0,1.0,0.4502825343450147
137,0.75,0.6666666666666666,1.0,1.0,0.03264320483305164
138,0.8333333333333334,0.08333333333333333,0.0,1.0,0.10047709639540599
139,1.0,0.5833333333333334,0.0,1.0,0.07921810790580243
140,0.3333333333333333,0.4166666666666667,0.0,1.0,0.06179080813342779
141,0.9166666666666666,0.8333333333333334,1.0,0.0,0.9169165946585133
142,0.6666666666666666,0.5833333333333334,1.0,0.0,0.040930112438852036
143,0.6666666666666666,0.5833333333333334,1.0,1.0,0.0480861161499621
144,0.08333333333333333,0.4166666666666667,1.0,0.0,0.03297192168461048
145,0.25,0.4166666666666667,0.0,0.0,0.11244386385874669
146,0.25,0.4166666666666667,1.0,0.0,0.5078065093012128
147,0.75,0.5833333333333334,1.0,1.0,0.031866371735421554
148,0.16666666666666666,0.4166666666666667,0.0,0.0,0.024514317166655315
149,1.0,0.5833333333333334,0.0,0.0,0.008639799149581498
150,0.3333333333333333,0.4166666666666667,1.0,0.0,0.0445256556869342
151,0.8333333333333334,0.4166666666666667,0.0,0.0,0.01993645593705382
152,0.16666666666666666,0.4166666666666667,1.0,1.0,0.17627536979171735
153,0.16666666666666666,0.8333333333333334,0.0,0.0,0.02545241315020709
154,0.16666666666666666,0.8333333333333334,1.0,1.0,0.19812133160101025
155,0.0,0.8333333333333334,0.0,1.0,0.03185782214914783
156,0.5833333333333334,0.5833333333333334,1.0,1.0,0.5370546439436352
157,0.6666666666666666,0.5833333333333334,0.0,0.0,0.008580246858985188
158,0.6666666666666666,0.5833333333333334,0.0,1.0,0.048028332739284495
159,0.08333333333333333,0.4166666666666667,1.0,1.0,0.05213419784391227
160,0.4166666666666667,1.0,0.0,1.0,0.14433529472634984
161,0.0,0.5833333333333334,0.0,1.0,0.02917266243255777
162,0.4166666666666667,1.0,0.0,0.0,0.025421162938310017
163,0.16666666666666666,0.25,0.0,1.0,0.16797814371972453
164,0.0,0.3333333333333333,0.0,0.0,0.000995879394229383
165,0.5833333333333334,0.5,1.0,1.0,0.526147730364917
166,0.8333333333333334,0.5833333333333334,1.0,1.0,0.11671865699561053
167,0.16666666666666666,0.16666666666666666,1.0,0.0,0.1040154458594501
168,1.0,0.3333333333333333,0.0,0.0,0.007634190915799252
169,0.0,0.3333333333333333,1.0,0.0,0.018015452345343144
170,0.4166666666666667,0.5,0.0,1.0,0.12476293323922892
171,0.6666666666666666,0.25,0.0,1.0,0.043206071267582295
172,0.6666666666666666,0.75,1.0,0.0,0.03616327587126918
173,0.16666666666666666,1.0,1.0,0.0,0.13863272068177349
174,0.75,0.8333333333333334,0.0,1.0,0.03404297847538471
175,0.3333333333333333,1.0,0.0,0.0,0.007640971622154278
176,0.4166666666666667,0.16666666666666666,1.0,0.0,0.07233038431569554
177,0.25,0.6666666666666666,1.0,0.0,0.4890215941912342
178,0.5,0.6666666666666666,0.0,1.0,0.17815392026537916
179,0.4166666666666667,0.6666666666666666,0.0,1.0,0.13064563822219313
180,0.9166666666666666,0.16666666666666666,1.0,1.0,0.5106045825192801
181,0.5,0.25,1.0,1.0,0.15601491401622122
182,0.75,0.8333333333333334,1.0,1.0,0.03441031587183522
183,0.4166666666666667,0.6666666666666666,1.0,1.0,0.12969339119929174
184,0.25,1.0,0.0,1.0,0.4217280954440434
185,0.6666666666666666,0.3333333333333333,1.0,1.0,0.04473438351734107
186,0.8333333333333334,0.25,0.0,0.0,0.018903135251211903
187,0.6666666666666666,1.0,1.0,1.0,0.05405814956882078
188,0.5833333333333334,0.75,1.0,0.0,0.7902866086650941
189,0.16666666666666666,0.16666666666666666,0.0,1.0,0.1635326536707059
190,0.08333333333333333,1.0,1.0,1.0,0.06074775860803301
191,0.75,0.8333333333333334,0.0,0.0,0.002860278828541585
